city,AvgShippingDays,StdDevShippingDays
"Walla Walla",27.50,7.5
Barcelona,16.80,10.65
Campinas,15.33,13.6
Elgin,12.60,12.42
Seattle,11.86,10.32
Cork,11.00,10.28
Versailles,11.00,13.32
Anchorage,10.90,9.4
Luleå,10.83,8.78
Bern,10.63,7.18
Leipzig,10.60,9.46
Cowes,10.30,6.68
Torino,10.17,9.65
Salzburg,10.00,8.85
Toulouse,9.85,6.92
Strasbourg,9.73,5.96
"Reggio Emilia",9.73,7.6
Bräcke,9.63,7.2
Köln,9.60,8.04
"San Cristóbal",9.56,7.78
Cunewalde,9.50,7.66
Lander,9.44,6.99
Butte,9.33,5.25
Genève,9.33,5.33
Marseille,9.31,7.84
"Buenos Aires",9.29,6.06
Charleroi,9.25,7.95
Bruxelles,9.00,8.78
Kobenhavn,9.00,3.37
"I. de Margarita",8.91,7.22
