Region,TotalRevenue,TopProduct,TopProductRevenue
Cunewalde,110277.3,"Côte de Blaye",22924.5
Boise,104361.95,"Thüringer Rostbratwurst",12046.59
Graz,94976.08,"Raclette Courdavault",8514
London,52825.01,"Sir Rodney's Marmalade",4941
"Rio de Janeiro",50118.98,"Côte de Blaye",18076.1
Cork,49979.9,"Thüringer Rostbratwurst",16711.65
Albuquerque,49842.08,"Côte de Blaye",16864
"Sao Paulo",38459.38,"Côte de Blaye",6324
Brandenburg,30908.38,"Côte de Blaye",7905
Bräcke,29567.56,"Manjimup Dried Apples",4664
Montréal,28872.19,"Côte de Blaye",8263.36
Seattle,27363.61,"Côte de Blaye",6587.5
München,26656.56,"Raclette Courdavault",3938
Luleå,24927.58,"Côte de Blaye",3557.25
Charleroi,24088.78,"Raclette Courdavault",2750
"Mexico City",23282.08,"Côte de Blaye",3952.5
Salzburg,23128.86,"Côte de Blaye",8432
"San Cristóbal",22768.76,"Raclette Courdavault",4565
Marseille,21170.5,"Carnarvon Tigers",2450
Tsawassen,19492.1,"Tarte au sucre",4522.475
Genève,18845.68,"Thüringer Rostbratwurst",4456.4400000000005
Strasbourg,18534.08,"Thüringer Rostbratwurst",3465
Eugene,17797.45,"Côte de Blaye",11264.625
"Frankfurt a.M.",17631.44,"Wimmers gute Semmelknödel",2327.5
Kobenhavn,16585.01,"Côte de Blaye",10540
Århus,15843.92,"Rössle Sauerkraut",2462.4
Oulu,15648.7,"Perth Pasties",1965
Barquisimeto,15402.68,"Raclette Courdavault",1980
Anchorage,15177.46,"Thüringer Rostbratwurst",2227.5
"I. de Margarita",13386.57,"Mozzarella di Giovanni",2088
